actor_1,actor_2,country,date_aired,episodes,genre,network,popularity,ranking,rating,tag,title,users,watchers
Jo Jung Suk,Yoo Yeon Seok,South Korea,"Mar 12, 2020 - May 28, 2020",12,"Friendship,  Comedy,  Romance,  Life,  Drama,  Medical","tvN, Netflix, Netflix, Netflix, Netflix",137,2,9.2,"Strong Friendship, Slice Of Life, Doctor, Multiple Mains, Best Friends, Hospital, Slight Romance, Strong Female Lead, Heartfelt, Bromance",Hospital Playlist,11888,25541
Bae Suzy,Lee Jong Suk,South Korea,"Sep 27, 2017 - Nov 16, 2017",32,"Thriller,  Mystery,  Comedy,  Romance,  Drama,  Fantasy",SBS,12,41,8.7,"Precognition, Nice Male Lead, Neighbors, Murder, Prosecutor, Tragic Past, Childhood Acquaintance, Smart Male Lead, Strong Female Lead, Hilarious Male Lead",While You Were Sleeping,34395,64782
Joo Ji Hoon,Ryu Seung Ryong,South Korea,"Jan 25, 2019",6,"Thriller,  Historical,  Horror,  Drama,  Zombies",Netflix,164,38,8.8,"Joseon Dynasty, Power Struggle, Adapted From A Webtoon, Corruption, Gore, Nice Male Lead, Zombie Epidemic, Strong Male Lead, Death, Prince Lead",Kingdom,12304,22599
Yoo Ah In,Im Soo Jung,South Korea,"Apr  7, 2017 - Jun  3, 2017",16,"Friendship,  Mystery,  Comedy,  Romance,  Supernatural,  Political",tvN,104,37,8.8,"Reincarnation, Strong Friendship, Hardworking Female Lead, Bromance, Friendship, Writer, Strong Female Lead, Rebellion, Tragic Past, Character Development",Chicago Typewriter,12790,29420
Ji Sung,Hwang Jung Eum,South Korea,"Jan  7, 2015 - Mar 12, 2015",20,"Psychological,  Comedy,  Romance,  Drama",MBC,16,31,8.8,"Dissociative Identity Disorder, Trauma, Boss/Employee Relationship, Rich Male Lead, Mental Health, PTSD, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman","Kill Me, Heal Me",32044,62620
Lee Sung Kyung,Nam Joo Hyuk,South Korea,"Nov 16, 2016 - Jan 11, 2017",16,"Friendship,  Comedy,  Romance,  School,  Youth,  Sports",MBC,8,28,8.8,"College Life, Friends To Lovers, Tomboy, Weightlifting, Bantering Relationship, Dream, Male Chases Female First, Strong Female Lead, Slow Burn Romance, Sismance",Weightlifting Fairy Kim Bok Joo,46111,76506
Lee Byung Hun,Kim Tae Ri,South Korea,"Jul  7, 2018 - Sep 30, 2018",24,"Action,  Military,  Historical,  Romance,  Tragedy,  Political","tvN, Netflix, Netflix, Netflix, Netflix",126,25,8.9,"Independent Female Lead, Strong Male Lead, Strong Female Lead, Bromance, Soldier, Foreigner, Smart Male Lead, Humour, Rebellion, Japanese Colonial Rule",Mr. Sunshine,9991,26587
Joo Ji Hoon,Ryu Seung Ryong,South Korea,"Mar 13, 2020",6,"Thriller,  Historical,  Horror,  Drama,  Zombies","Netflix, Netflix, Netflix, Netflix",374,23,9.0,"Outbreak, Corruption, Strong Female Lead, Smart Female Lead, Gore, Palace Politics, Greed, Death, Prince Lead, Strong Male Lead",Kingdom: Season 2,8032,13171
Lee Bo Young,Heo Yool,South Korea,"Jan 24, 2018 - Mar 15, 2018",16,"Suspense,  Psychological,  Life,  Drama,  Family,  Melodrama,  Investigation",tvN,305,22,9.1,"Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Tear Jerker, Adoption, Strong Female Lead, Child, Motherhood",Mother,4922,15296
Jo Seung Woo,Bae Doo Na,South Korea,"Jun 10, 2017 - Jul 30, 2017",16,"Thriller,  Mystery,  Crime,  Drama,  Investigation","tvN, Netflix, Netflix, Netflix, Netflix",131,18,8.9,"Cold Man, Alexithymia, Strong Female Lead, Smart Female Lead, Prosecutor, Corruption, Murder, Calm Male Lead, Antisocial Personality Disorder, Tragic Past",Stranger,11007,26151
