actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Sean Xiao,Wang Yi Bo,China,"Jun 27, 2019 - Aug  7, 2019",50,"Action,  Adventure,  Friendship,  Historical,  Mystery,  Wuxia,  Fantasy",Tencent Video,9.4,376,"Censored Romance, Strong Male Lead, Adapted From A Novel, Tragic Past, Playful Male Lead, Calm Second Male Lead, Secret, Smart Male Lead, Adapted From A Web Novel, Flashback To Past",The Untamed,12453,23671
Jo Seung Woo,Bae Doo Na,South Korea,"Jun 10, 2017 - Jul 30, 2017",16,"Thriller,  Mystery,  Crime,  Drama,  Investigation","tvN, Netflix, Netflix, Netflix, Netflix",8.9,70,"Cold Man, Alexithymia, Strong Female Lead, Smart Female Lead, Prosecutor, Corruption, Murder, Calm Male Lead, Antisocial Personality Disorder, Tragic Past",Stranger,9291,22606
Yang Mi,Mark Chao,China,"Jan 30, 2017 - Mar  1, 2017",58,"Adventure,  Historical,  Romance,  Wuxia,  Drama,  Fantasy,  War",ZJTV,9.0,184,"Male Chases Female First, Deity, Second Chance, Steamy Kiss, Fate, Xianxia, Strong Male Lead, Strong Female Lead, Adapted From A Novel, Amnesia",Eternal Love,10035,19733
Joo Ji Hoon,Ryu Seung Ryong,South Korea,"Mar 13, 2020",6,"Thriller,  Historical,  Horror,  Drama,  Zombies","Netflix, Netflix, Netflix, Netflix",9.0,22,"Outbreak, Corruption, Strong Female Lead, Smart Female Lead, Gore, Palace Politics, Greed, Death, Prince, Strong Male Lead",Kingdom: Season 2,6272,10315
Hyun Bin,Son Ye Jin,South Korea,"Dec 14, 2019 - Feb 16, 2020",16,"Military,  Comedy,  Romance,  Drama,  Political","tvN, Netflix, Netflix, Netflix, Netflix",9.0,211,"North And South Korea, Lovers From Different Countries, Strong Friendship, Army Officer, Strong Male Lead, Strong Female Lead, Fate, North Korean, Friendship, Rich Female Lead",Crash Landing on You,24132,39633
Ji Chang Wook,Park Min Young,South Korea,"Dec  8, 2014 - Feb 10, 2015",20,"Action,  Thriller,  Mystery,  Comedy,  Romance,  Drama",KBS2,9.0,272,"Double Identity, Hidden Identity, Strong Male Lead, Sassy Female Lead, Secret, Trauma, Badass Male Lead, Reporter, Hardworking Female Lead, Calm Male Lead",Healer,37837,65848
Lee Hye Ri,Go Kyung Pyo,South Korea,"Nov  6, 2015 - Jan 16, 2016",20,"Friendship,  Comedy,  Romance,  Life,  Youth,  Drama,  Family",tvN,9.0,128,"Slice Of Life, Neighbors, Childhood Friends, Multiple Couples, Love Triangle, Bromance, High School, Coming Of Age, Second Lead Syndrome, Best Friends",Reply 1988,16484,35222
Sawajiri Erika,Nishikido Ryo,Japan,"Oct 11, 2005 - Dec 20, 2005",11,"Romance,  School,  Drama,  Family,  Melodrama,  Tragedy",Fuji TV,9.0,95,"Based On True Story, Terminal Illness, Tearjerker, High School, Adapted From A Novel, Spinocerebellar Ataxia, Kito Aya, Kanjani 8",1 Litre no Namida,14575,26775
Alice Ke,Greg Hsu,Taiwan,"Nov 17, 2019 - Feb 16, 2020",13,"Mystery,  Comedy,  Romance,  Drama,  Fantasy","CTV, CTV",9.1,55,"Time Travel, Second Chance, Mental Illness, Parallel Dimension, Love Triangle, Youth, Heartbreak, Healing, Friendship, Rain",Someday or One Day,2132,6319
Yeom Jung Ah,Lee Tae Ran,South Korea,"Nov 23, 2018 - Feb  1, 2019",20,"Mystery,  Psychological,  School,  Drama,  Family",jTBC,9.1,59,"Multiple Mains, Social Commentary, Makjang, Medical, Social Satire, Female Centered Plot, Satire, Evil Parental Figure, Rich Kids, Mother-Daughter Relationship",SKY Castle,10052,22608
